Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
SUN - MID, 2/9/2020, 062, 2951, 24199, , , , , ,
SUN - EVE, 2/9/2020, 346, 1632, 98629, , , 3 14 15 31 39 $110000.00, , ,
MON - MID, 2/10/2020, 893, 4442, 00504, , , , , ,
MON - EVE, 2/10/2020, 562, 8439, 97664, 3 6 16 18 37 42 $9.40 M/0, 813530, 4 19 22 25 34 $120000.00, , ,3 7 21 25 26 +40
TUE - MID, 2/11/2020, 262, 6411, 79581, , , , , ,
TUE - EVE, 2/11/2020, 472, 8316, 81003, , , 5 12 15 30 37 $130000.00, 4 6 32 52 64 +6 x2 $202.00 M/1, ,
WED - MID, 2/12/2020, 424, 7355, 13149, , , , , ,
WED - EVE, 2/12/2020, 591, 7808, 48313, 16 18 22 30 36 44 $9.50 M/0, 296087, 5 11 20 29 34 $140000.00, , 14 47 54 55 68 +25 x2 $70.00 M/1,
THU - MID, 2/13/2020, 418, 7821, 77542, , , , , ,
THU - EVE, 2/13/2020, 212, 0328, 15890, , , 3 6 9 22 39 $150000.00, , ,5 14 31 40 46 +20
FRI - MID, 2/14/2020, 918, 8507, 62341, , , , , ,
FRI - EVE, 2/14/2020, 251, 3131, 28473, , , 21 24 29 37 38 $179000.00, 10 32 48 54 55 +18 x5 $40.00 M/0, ,
SAT - MID, 2/15/2020, 917, 0975, 74425, , , , , ,
SAT - EVE, 2/15/2020, 924, 6027, 56956, 19 23 28 35 38 44 $9.60 M/0, 855459, 18 23 25 28 38 $232000.00, , 16 32 35 36 46 +3 x3 $40.00 M/0,
SUN - MID, 2/16/2020, 463, 6940, 08466, , , , , ,
SUN - EVE, 2/16/2020, 993, 9716, 31419, , , 4 5 22 27 31 $100000.00, , ,
MON - MID, 2/17/2020, 908, 0300, 35350, , , , , ,
MON - EVE, 2/17/2020, 879, 7652, 35394, 7 13 18 21 38 44 $9.70 M/0, 441803, 3 12 14 17 36 $110000.00, , ,4 27 29 34 45 +140
TUE - MID, 2/18/2020, 150, 4209, 40571, , , , , ,
TUE - EVE, 2/18/2020, 118, 7277, 89939, , , 11 12 13 14 16 $120000.00, 6 12 39 61 70 +4 x3 $45.00 M/0, ,
WED - MID, 2/19/2020, 829, 2309, 11528, , , , , ,
WED - EVE, 2/19/2020, 632, 3112, 64277, 6 18 21 23 36 43 $9.80 M/0, 121634, 6 9 28 29 33 $130000.00, , 10 12 15 19 56 +19 x2 $50.00 M/0,
THU - MID, 2/20/2020, 620, 6575, 98857, , , , , ,
THU - EVE, 2/20/2020, 989, 0125, 30228, , , 1 7 8 12 38 $140000.00, , ,24 27 36 41 47 +20
FRI - MID, 2/21/2020, 867, 8466, 08720, , , , , ,
FRI - EVE, 2/21/2020, 025, 2611, 70661, , , 6 9 17 21 35 $150000.00, 4 7 13 16 60 +6 x4 $50.00 M/0, ,
SAT - MID, 2/22/2020, 145, 1484, 81618, , , , , ,
SAT - EVE, 2/22/2020, 894, 0664, 19083, 15 19 28 29 43 46 $9.90 M/0, 281061, 13 15 22 25 31 $167000.00, , 25 37 39 61 62 +11 x3 $60.00 M/0,
SUN - MID, 2/23/2020, 537, 6897, 67574, , , , , ,
SUN - EVE, 2/23/2020, 718, 4920, 47668, , , 3 6 14 23 39 $100000.00, , ,
MON - MID, 2/24/2020, 272, 2551, 07450, , , , , ,
MON - EVE, 2/24/2020, 963, 8756, 35896, 2 6 12 16 18 36 $10.00 M/0, 006249, 4 10 11 13 21 $110000.00, , ,23 27 33 44 48 +110
TUE - MID, 2/25/2020, 526, 7250, 55073, , , , , ,
TUE - EVE, 2/25/2020, 609, 8902, 63383, , , 14 20 35 36 39 $120000.00, 2 9 43 49 63 +15 x2 $55.00 M/0, ,
WED - MID, 2/26/2020, 364, 3930, 64856, , , , , ,
WED - EVE, 2/26/2020, 689, 1347, 47489, 6 31 32 46 47 48 $10.10 M/0, 598509, 1 8 12 30 39 $100000.00, , 8 27 29 36 47 +24 x3 $70.00 M/0,
THU - MID, 2/27/2020, 118, 6240, 10698, , , , , ,
THU - EVE, 2/27/2020, 733, 4436, 05644, , , 20 21 27 28 37 $110000.00, , ,19 20 32 36 48 +40
